Date,Open,High,Low,Close,Adj Close,Volume,A,R
1987-10-02,8.67,8.67,8.67,8.67,1.082374,0,0.347%,0.347%
1987-10-05,8.67,8.67,8.67,8.67,1.082374,0,0.000%,0.000%
1987-10-06,8.63,8.63,8.63,8.63,1.077382,0,-0.461%,-0.461%
1987-10-07,8.66,8.66,8.66,8.66,1.081127,0,0.348%,0.348%
1987-10-08,8.57,8.57,8.57,8.57,1.06989,0,-1.039%,-1.039%
1987-10-09,8.52,8.52,8.52,8.52,1.063649,0,-0.583%,-0.583%
1987-10-12,8.5,8.5,8.5,8.5,1.061153,0,-0.235%,-0.235%
1987-10-13,8.54,8.54,8.54,8.54,1.066144,0,0.470%,0.470%
1987-10-14,8.43,8.43,8.43,8.43,1.052413,0,-1.288%,-1.288%
1987-10-15,8.39,8.39,8.39,8.39,1.047419,0,-0.475%,-0.475%
1987-10-16,8.38,8.38,8.38,8.38,1.04617,0,-0.119%,-0.119%
1987-10-19,8.38,8.38,8.38,8.38,1.04617,0,0.000%,0.000%
1987-10-20,8.38,8.38,8.38,8.38,1.04617,0,0.000%,0.000%
1987-10-21,8.38,8.38,8.38,8.38,1.04617,0,0.000%,0.000%
1987-10-22,9.03,9.03,9.03,9.03,1.127318,0,7.757%,7.757%
1987-10-23,9.04,9.04,9.04,9.04,1.128566,0,0.111%,0.111%
1987-10-26,9.12,9.12,9.12,9.12,1.138552,0,0.885%,0.885%
1987-10-27,9.04,9.04,9.04,9.04,1.128566,0,-0.877%,-0.877%
1987-10-28,9.02,9.02,9.02,9.02,1.126069,0,-0.221%,-0.221%
1987-10-29,9.03,9.03,9.03,9.03,1.127318,0,0.111%,0.111%
1987-10-30,9.07,9.07,9.07,9.07,1.140394,0,1.160%,1.160%
1987-11-02,9.01,9.01,9.01,9.01,1.132851,0,-0.661%,-0.661%
1987-11-03,9.08,9.08,9.08,9.08,1.141651,0,0.777%,0.777%
1987-11-04,9.16,9.16,9.16,9.16,1.151711,0,0.881%,0.881%
1987-11-05,9.24,9.24,9.24,9.24,1.161768,0,0.873%,0.873%
1987-11-06,9.18,9.18,9.18,9.18,1.154224,0,-0.649%,-0.649%
1987-11-09,9.19,9.19,9.19,9.19,1.155481,0,0.109%,0.109%
1987-11-10,9.18,9.18,9.18,9.18,1.154224,0,-0.109%,-0.109%
1987-11-11,9.17,9.17,9.17,9.17,1.152966,0,-0.109%,-0.109%
1987-11-12,9.17,9.17,9.17,9.17,1.152966,0,0.000%,0.000%
1987-11-13,9.14,9.14,9.14,9.14,1.149194,0,-0.327%,-0.327%
1987-11-16,9.14,9.14,9.14,9.14,1.149194,0,0.000%,0.000%
1987-11-17,9.11,9.11,9.11,9.11,1.145422,0,-0.328%,-0.328%
1987-11-18,9.12,9.12,9.12,9.12,1.14668,0,0.110%,0.110%
1987-11-19,9.14,9.14,9.14,9.14,1.149194,0,0.219%,0.219%
1987-11-20,9.17,9.17,9.17,9.17,1.152966,0,0.328%,0.328%
1987-11-23,9.16,9.16,9.16,9.16,1.151711,0,-0.109%,-0.109%
1987-11-24,9.13,9.13,9.13,9.13,1.147939,0,-0.328%,-0.328%
1987-11-25,9.05,9.05,9.05,9.05,1.137879,0,-0.876%,-0.876%
1987-11-27,8.98,8.98,8.98,8.98,1.129078,0,-0.773%,-0.773%
1987-11-30,9.05,9.05,9.05,9.05,1.145919,0,1.492%,1.492%
1987-12-01,9.02,9.02,9.02,9.02,1.142119,0,-0.332%,-0.332%
1987-12-02,9.03,9.03,9.03,9.03,1.143385,0,0.111%,0.111%
1987-12-03,9.06,9.06,9.06,9.06,1.147184,0,0.332%,0.332%
